"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        אם הלקוח מבקש image/png — ה-Controller מחזיר PNG (או לפחות content-type של image/png).
        ","6","test_get_prediction_image_png","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","7","test_get_predictions_by_label","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestGetPredictionsByLabel","test_get_predictions_by_label","",""
"","5","test_get_predictions_by_score_no_results","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestGetPredictionsByScore","test_get_predictions_by_score","",""
"","72","test_count_no_auth","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestAuth","test_auth","",""
"","12","test_predict_endpoint_basic","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestPredictEndpoint","test_predict","",""
"","5","test_labels_endpoint_empty","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestLabelsEndpoint","test_labels","",""
"","2","test_prediction_count_wrong_auth","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestPredictionCount","test_prediction_count","",""
"","3","test_count_with_wrong_auth","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestAuth","test_auth","",""
"
        בלוגיקה החדשה: אם Accept אינו תמונה (למשל application/json),
        אנחנו עדיין מחזירים את התמונה עם content-type לפי הסיומת של הקובץ (כאן .jpg => image/jpeg).
        ","5","test_get_prediction_image_accept_json_returns_image","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","3","test_labels_endpoint_unauthorized","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestLabelsEndpoint","test_labels","",""
