"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        מוודא ש-username שמוחזר מה-DB נכנס למפתחי S3,
        ושהסיומת נגזרת מ-original_image (.png),
        וש-URL חתום נבנה עם אותם מפתחות.
        ","5","test_get_prediction_by_uid_with_username_and_png","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestGetPredictionByUID","test_get_prediction_by_uid","",""
"","7","test_get_predictions_by_label_empty","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestGetPredictionsByLabel","test_get_predictions_by_label","",""
"","5","test_labels_endpoint","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestLabelsEndpoint","test_labels","",""
"
        גם ה-GET /prediction/{uid} עצמו צריך להחזיר 404 אם הרשומה לא קיימת.
        ","6","test_get_prediction_by_uid_not_found","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"
        כאשר ה-DB לא מחזיר רשומה — מצופה 404.
        ","4","test_get_prediction_by_uid_not_found","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestGetPredictionByUID","test_get_prediction_by_uid","",""
"
        Session exists -> local/S3 cleaned -> DB delete returns None
        Controller returns 200 with informative message.
        ","6","test_delete_prediction_db_record_missing_after_cleanup","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestDeletePrediction","test_delete_prediction","",""
"","6","test_get_prediction_by_uid_mocked","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestGetPredictionByUID","test_get_prediction_by_uid","",""
"
        אם הלקוח מבקש image/jpeg — ה-Controller יחזיר JPEG.
        ","6","test_get_prediction_image_jpeg","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","12","test_predict_with_detected_object","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestPredictEndpoint","test_predict","",""
"
        No session -> 404 (controller fails early before any local/S3/DB actions).
        ","5","test_delete_prediction_not_found","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestDeletePrediction","test_delete_prediction","",""
"","11","test_predict_runs_yolo_and_saves_image","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestPredictEndpoint","test_predict","",""
"
        לפי הלוגיקה החדשה: אם Accept אינו תמונה, ה־controller בכל זאת
        מחזיר את התמונה עם Content-Type לפי סיומת הקובץ (למשל image/jpeg).
        לכן מצפים ל-200 ולא ל-406.
        ","6","test_get_prediction_image_accept_json_serves_default","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestGetImage","test_get_image","",""
"
        Existing session -> local files removed, S3 keys deleted, DB delete called -> 200
        ","6","test_delete_prediction_success","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestDeletePrediction","test_delete_prediction","",""
"","5","test_get_predictions_by_score","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestGetPredictionsByScore","test_get_predictions_by_score","",""
"","2","test_prediction_count_unauthorized_missing","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestPredictionCount","test_prediction_count","",""
"","2","test_stats_endpoint_unauthorized_missing","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestStatsEndpoint","test_stats","",""
"
        ה-Controller מחזיר {""items"": []} עבור מסנן תווית ריק.
        ","6","test_get_predictions_by_label_empty","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"
        אם אין Session — מצופה 404.
        ","5","test_get_prediction_image_uid_not_found","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","5","test_prediction_count_endpoint_mocked","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestPredictionCount","test_prediction_count","",""
"
        כאשר הקובץ הלוקאלי לא קיים וגם הפולבק מ-S3 נכשל (mok ל-s3_download_to_temp מחזיר None),
        מצפים ל-404 עם ההודעה המתאימה.
        ","4","test_get_prediction_image_not_found","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestGetImage","test_get_image","",""
"","5","test_stats_endpoint_mocked","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestStatsEndpoint","test_stats","",""
"","6","test_count_with_auth","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestAuth","test_auth","",""
"
        אם הקובץ לוקאלית חסר וגם הפולבק ל-S3 נכשל — מצופה 404.
        ","5","test_get_prediction_image_file_missing","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","11","test_predict_with_auth_and_verify_db_insert_mocked","tests","Tue Sep 09 19:59:56 UTC 2025","passed","Tue Sep 09 19:59:56 UTC 2025","TestPredictEndpoint","test_predict","",""
