"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        מוודא ש-username שמוחזר מה-DB נכנס למפתחי S3,
        ושהסיומת נגזרת מ-original_image (.png),
        וש-URL חתום נבנה עם אותם מפתחות.
        ","5","test_get_prediction_by_uid_with_username_and_png","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestGetPredictionByUID","test_get_prediction_by_uid","",""
"","6","test_count_with_auth","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestAuth","test_auth","",""
"","70","test_count_no_auth","tests","Wed Sep 03 07:10:37 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestAuth","test_auth","",""
"","2","test_stats_endpoint_unauthorized_missing","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestStatsEndpoint","test_stats","",""
"
        כאשר ה-DB לא מחזיר רשומה — מצופה 404.
        ","4","test_get_prediction_by_uid_not_found","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestGetPredictionByUID","test_get_prediction_by_uid","",""
"","3","test_labels_endpoint_unauthorized","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestLabelsEndpoint","test_labels","",""
"
        No session -> 404 (controller fails early before any local/S3/DB actions).
        ","5","test_delete_prediction_not_found","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestDeletePrediction","test_delete_prediction","",""
"
        אם הלקוח מבקש image/png — ה-Controller מחזיר PNG (או לפחות content-type של image/png).
        ","5","test_get_prediction_image_png","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","4","test_get_predictions_by_label","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestGetPredictionsByLabel","test_get_predictions_by_label","",""
"","4","test_get_predictions_by_score","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestGetPredictionsByScore","test_get_predictions_by_score","",""
"
        Session exists -> local/S3 cleaned -> DB delete returns None
        Controller returns 200 with informative message.
        ","6","test_delete_prediction_db_record_missing_after_cleanup","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestDeletePrediction","test_delete_prediction","",""
"
        Existing session -> local files removed, S3 keys deleted, DB delete called -> 200
        ","6","test_delete_prediction_success","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestDeletePrediction","test_delete_prediction","",""
"
        אם אין Session — מצופה 404.
        ","4","test_get_prediction_image_uid_not_found","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","4","test_get_predictions_by_label_empty","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestGetPredictionsByLabel","test_get_predictions_by_label","",""
"","5","test_stats_endpoint_mocked","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestStatsEndpoint","test_stats","",""
"","13","test_predict_with_detected_object","tests","Wed Sep 03 07:10:38 UTC 2025","broken","Wed Sep 03 07:10:38 UTC 2025","TestPredictEndpoint","test_predict","",""
"
        כאשר הקובץ הלוקאלי לא קיים וגם הפולבק מ-S3 נכשל (mok ל-s3_download_to_temp מחזיר None),
        מצפים ל-404 עם ההודעה המתאימה.
        ","5","test_get_prediction_image_not_found","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestGetImage","test_get_image","",""
"","5","test_get_prediction_by_uid_mocked","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestGetPredictionByUID","test_get_prediction_by_uid","",""
"
        גם ה-GET /prediction/{uid} עצמו צריך להחזיר 404 אם הרשומה לא קיימת.
        ","4","test_get_prediction_by_uid_not_found","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","5","test_prediction_count_endpoint_mocked","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestPredictionCount","test_prediction_count","",""
"","2","test_prediction_count_wrong_auth","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestPredictionCount","test_prediction_count","",""
"","4","test_get_predictions_by_score_no_results","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestGetPredictionsByScore","test_get_predictions_by_score","",""
"
        אם הלקוח מבקש image/jpeg — ה-Controller יחזיר JPEG.
        ","5","test_get_prediction_image_jpeg","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","5","test_labels_endpoint","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestLabelsEndpoint","test_labels","",""
"","3","test_count_with_wrong_auth","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestAuth","test_auth","",""
"","11","test_predict_runs_yolo_and_saves_image","tests","Wed Sep 03 07:10:38 UTC 2025","failed","Wed Sep 03 07:10:38 UTC 2025","TestPredictEndpoint","test_predict","",""
"","10","test_predict_with_auth_and_verify_db_insert_mocked","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestPredictEndpoint","test_predict","",""
"","5","test_labels_endpoint_empty","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestLabelsEndpoint","test_labels","",""
"
        ה-Controller מחזיר {""items"": []} עבור מסנן תווית ריק.
        ","5","test_get_predictions_by_label_empty","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","3","test_prediction_count_unauthorized_missing","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestPredictionCount","test_prediction_count","",""
"
        בלוגיקה החדשה: אם Accept אינו תמונה (למשל application/json),
        אנחנו עדיין מחזירים את התמונה עם content-type לפי הסיומת של הקובץ (כאן .jpg => image/jpeg).
        ","5","test_get_prediction_image_accept_json_returns_image","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"
        אם הקובץ לוקאלית חסר וגם הפולבק ל-S3 נכשל — מצופה 404.
        ","5","test_get_prediction_image_file_missing","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","13","test_predict_endpoint_basic","tests","Wed Sep 03 07:10:38 UTC 2025","failed","Wed Sep 03 07:10:38 UTC 2025","TestPredictEndpoint","test_predict","",""
"
        לפי הלוגיקה החדשה: אם Accept אינו תמונה, ה־controller בכל זאת
        מחזיר את התמונה עם Content-Type לפי סיומת הקובץ (למשל image/jpeg).
        לכן מצפים ל-200 ולא ל-406.
        ","6","test_get_prediction_image_accept_json_serves_default","tests","Wed Sep 03 07:10:38 UTC 2025","passed","Wed Sep 03 07:10:38 UTC 2025","TestGetImage","test_get_image","",""
